Date,Price
11/5/1993,967.9
11/8/1993,973.52
11/9/1993,962.37
11/10/1993,963.03
11/11/1993,969.21
11/12/1993,976.83
11/15/1993,976.32
11/16/1993,976.07
11/17/1993,970.9
11/18/1993,973.23
11/19/1993,961.75
11/22/1993,942.9
11/23/1993,938.08
11/24/1993,938.46
11/25/1993,941.1
11/26/1993,926.33
11/29/1993,901.49
11/30/1993,912.19
12/1/1993,940.54
12/2/1993,948
12/3/1993,949.14
12/6/1993,949.79
12/7/1993,953.26
12/8/1993,948.82
12/9/1993,962.09
12/10/1993,968.37
12/13/1993,970.15
12/14/1993,958.64
12/15/1993,956.79
12/16/1993,967.85
12/17/1993,977.88
12/20/1993,965.65
12/21/1993,965.74
12/22/1993,972.2
12/23/1993,981.54
12/24/1993,977.63
12/27/1993,970.98
12/28/1993,978.73
12/29/1993,978.51
12/30/1993,974.75
12/31/1993,976.9
1/3/1994,979.04
1/4/1994,980.37
1/5/1994,984.71
1/6/1994,984.03
1/7/1994,991.02
1/10/1994,997.88
1/11/1994,990.97
1/12/1994,985.54
1/13/1994,974.95
1/14/1994,992.77
1/17/1994,991.57
1/18/1994,996
1/19/1994,1010.04
1/20/1994,1010.79
1/21/1994,1015.19
1/24/1994,993.51
1/25/1994,999.98
1/26/1994,1011.77
1/27/1994,1015.08
1/28/1994,1021.27
1/31/1994,1058.31
2/1/1994,1070.67
2/2/1994,1065.2
2/3/1994,1060.84
2/4/1994,1058.45
2/7/1994,1032.18
2/8/1994,1038.84
2/9/1994,1035.86
2/10/1994,1034.5
2/11/1994,1033.1
2/14/1994,1039.07
2/15/1994,1040.97
2/16/1994,1041.68
2/17/1994,1038.95
2/18/1994,1039.26
2/21/1994,1026.82
2/22/1994,1030.49
2/23/1994,1036.75
2/24/1994,1034.94
2/25/1994,1040.08
2/28/1994,1054.18
3/1/1994,1047.87
3/2/1994,1033.44
3/3/1994,1029.56
3/4/1994,1031.41
3/7/1994,1033.62
3/8/1994,1038.62
3/9/1994,1030.11
3/10/1994,1037.29
3/11/1994,1035.63
3/14/1994,1042.77
3/15/1994,1044.63
3/16/1994,1047.34
3/17/1994,1047.57
3/18/1994,1034.32
3/21/1994,1024.78
3/22/1994,1024.88
3/23/1994,1022.48
3/24/1994,1018.94
3/25/1994,1021.87
3/28/1994,1023.96
3/29/1994,1022.48
3/30/1994,1012.28
3/31/1994,1007.54
4/1/1994,1002.59
4/4/1994,997.41
4/5/1994,1006.31
4/6/1994,1011.31
4/7/1994,1015.33
4/8/1994,1017.24
4/11/1994,1032.63
4/12/1994,1030.8
4/13/1994,1033.09
4/14/1994,1030.66
4/15/1994,1037.38
4/18/1994,1036.95
4/19/1994,1035.01
